"date","setting","series","note","info","source"
"1600","time travel","TOS",NA,"Hikaru Sulu, a.k.a. Okiri Heihachiro, serves as a bodyguard for Lord Torii Mototada in feudal Japan.","Home Is The Hunter - TOS 52"
"1746","time travel","TOS",NA,"Montgomery Scott marches in the Great Scottish Rebellion.","Home Is The Hunter - TOS 52"
"1776","primary",NA,NA,"October 11. Commanded by Captain Israel Daniel Dickenson, the sloop-of-war Enterprise and the American rebel fleet on Lake Champlain repel the British Royal Navy at Valcour Island.","The Veil At Valcour - The Enterprise Logs"
"1864","secondary","SNW",NA,"Colonel Thaddius Riker dies on the field of battle during the American Civil War.","A Q To Swear By - SNW 3"
"1867","time travel","TOS",NA,"Spock arrives on Earth from the future to prevent the Klingons from altering history.","Ishmael - TOS 23"
"1873","secondary","NF",NA,"~1873. On Zondar, the prophet Ontear leaves his writings to his student, Suti.","Martyr - NF 5"
"1889","secondary","SNW",NA,"July 21. Arizona ranger John Dawson discovers an ancient transporter within a Hopi ruin in southwest Colorado. He leaves behind his Colt .45 Peacemakers on the planet Equinox.","The Peacemakers - SNW 5"
"1929","secondary","SNW",NA,"June 19. John Dawson returns to southwest Colorado but is unable to locate his Colt .45s.","The Peacemakers - SNW 5"
"1930","primary","SNW",NA,"A homeless man known as Rodent accidentally disintegrates himself with a phaser.","Disappearance On 21st Street - SNW 5"
"1930","time travel","TOS",NA,"Edith Keeler is struck by an automobile and killed, preventing her founding of a peace movement that would have resulted in a victory for the Axis powers in World War 2.","The City On The Edge Of Forever - Star Trek 2; Triptych - SNW 2"
"1938","primary","SNW","It is unlikely that this is the same Benny Russell who worked for the magazine Incredible Tales Of Scientific Wonder since he would only be fourteen, did not write for radio, and did not yet have knowledge of the Bajoran orb.","October 28. A science-fiction radio play written by Ben Russell is broadcast.","Captain Proton And The Orb Of Bajor - SNW 4"
"1940","alternate","DS9","It would appear that in Benny Russell's reality, Star Trek is his own fictional creation. This reality is experienced in a vision by Captain Sisko.","July. 16 year-old Benny Russell attends the annual fair at Flushing Meadow, where he views a strange orb allegedly of extraterrestrial origin.","Far Beyond The Stars - DS9"
"1942","primary",NA,NA,"October 26. The aircraft carrier USS Enterprise, under command of Captain Osborne B. Hardison, supports Task Force 16 against Japanese attacks at Guadalcanal during World War 2.","World Of Strangers - Enterprise Logs"
"1942","time travel","TOS",NA,"October 26. Pavel Alexandrovitch Chuikov is awarded Hero Of The Soviet Union, First Class, in World War 2.","Home Is The Hunter - TOS 52"
"1945","inferred","SNW",NA,"December 5. Naval lieutenant Charles Taylor leads a squadron of Avenger torpedo bombers on a training mission into the Bermuda Triangle. All five planes vanish into a spatial anomaly.","Flight 19 - SNW 4"
"1953","alternate","DS9",NA,"October. Science fiction writer Benny Russell pens the story of an alien space station called Deep Space Nine. However, due to issues of racism, the story will not be published.","Far Beyond The Stars - DS9"
"1953","alternate","SNW",NA,"December 14. Benny Russell is institutionalized and is treated by Dr. James Wykoff. He will be released in four months after completing his Deep Space Nine serial story.","Isolation Ward 4 - SNW 4"
"1968","alternate",NA,NA,"Actors William Shatner, Leonard Nimoy and DeForest Kelley are temporarily transported into a fictional universe while filming an episode of the Star Trek television series (probably 'The Omega Glory').","Visit To A Weird Planet Revisited - The New Voyages"
"1968","alternate","SNW",NA,"April 4. Dr. Martin Luther King Jr. is assassinated. Dr. Wykoff reflects upon Benny Russell's hopes for the future of race relations.","Isolation Ward 4 - SNW 4"
"1968","time travel","TOS",NA,"April 4. Gary Seven prevents the detonation of an orbital atomic weapon by the United States.","Assignment: Earth - Star Trek 3"
"1969","time travel","TOS",NA,"July. The Enterprise abducts U.S. Air Force Captain John Christopher, but is forced to return him to prevent the altering of Earth's history.","Tomorrow Is Yesterday - Star Trek 2"
"1969","primary","SNW",NA,"July. Jimmy Wainwright attempts to coerce Christopher into leaking his report of a UFO sighting to the press. Roberta Lincoln, companion to Gary Seven, intercedes.","The Aliens Are Coming! - SNW 3"
"1969","time travel","TOS",NA,"July. Gary Seven, in his office, discovers that the Romulans have altered future events.","Assignment: Eternity - TOS 84 Ch 1, 22"
"1974","secondary",NA,NA,"May. Gary Seven, along with Roberta Lincoln and Isis, infiltrate and destroy the underground base of the Chrysalis Project in Rajasthan, India. Dozens of genetically engineered children are rescued, including four year-old Khan Noonien Singh, the son of the project director Sarina Kaur.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 1-23"
"1984","secondary",NA,NA,"November 1. Gary Seven rescues Khan from the rioting in Delhi following the assassination of Indira Gandhi.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 26-27"
"1984","secondary",NA,NA,"December 2. Khan accompanies Gary Seven to Antarctica to confront atmospheric researcher Dr. Wilson Evergreen, who is discovered to be immortal when Khan stabs him.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 29-30"
"1986","time travel","TOS",NA,"The Enterprise retrieves two humpback whales for the purpose of communicating with an alien probe.","Star Trek 4: The Voyage Home"
"1986","primary","SNW",NA,"Detective Chizum investigates the unexplained disappearance of Dr. Gillian Taylor.","Whales Weep Not - SNW 6"
"1986","secondary",NA,NA,"July 5. Roberta Lincoln retrieves Chekov's phaser and communicator from Area 51 in Nevada.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 31"
"1986","secondary",NA,NA,"October 10. Seven and Lincoln succeed in foiling an assassination attempt upon Mikhail Gorbachev. Khan arrives to assist Seven, thus repaying his life debt.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 32-33"
"1989","secondary",NA,NA,"November 9. Khan invades Seven's office to obtain information regarding the whereabouts of the other children from the Chrysalis Project.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 1 Ch 34"
"1991","primary",NA,NA,NA,"The Man Who Sold The Sky - SNW 1"
"1992","secondary",NA,NA,"June 14. Roberta Lincoln fails in her attempt to prevent Khan from launching his Morning Star satellite, capable of selectively destroying portions of the Earth's ozone layer.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 1"
"1992","secondary",NA,NA,"July 10. Khan demonstrates Morning Star's abilities to an assembly of delegates from nations in Southern Asia and the Middle East.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 2"
"1992","secondary",NA,NA,"November 5. Seven and Lincoln are forced to destroy their base of operations in London during an attack by Khan's minions.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 3-4"
"1993","secondary",NA,NA,"March 15. Walter Nichols joins Dr. Jeffrey Carlson, Shaun Christopher, Jackson Roykirk and Shannon O'Donnell at Area 51 to assist in the construction of the DY-100 sleeper ship.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 5"
"1993","secondary",NA,NA,"June 14. Khan convenes a summit of the other world leaders conceived through the Chrysalis Project. When they refuse to follow his banner, Khan considers retaliating with Morning Star, but his advisor Ament convinces him to reconsider.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 6, 8"
"1993","secondary",NA,NA,"September 10. Gary Seven relocates his headquarters to the Isle of Arran off the coast of Scotland.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 9"
"1993","secondary",NA,NA,"September 30. Khan is lured to the Ajorra caves in central India by Vasily Hunyadi, a Balkan dictator and former Chrysalis child, who attempts to assassinate Khan by triggering an earthquake.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 10"
"1993","secondary",NA,NA,"October 1. Roberta Lincoln continues her ongoing practice of feeding information on starship engineering to Shannon O'Donnell.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 11"
"1994","secondary",NA,NA,"February 7. Khan's attempt to retaliate against Hunyadi is thwarted when the nuclear sub S.G.K. Kaur is struck by a mine.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 12-13"
"1994","secondary",NA,NA,"April 21. Dr. Donald Williams of the Chrysalis Project offers to Khan the genetic sequence for a flesh-eating strain of strep-A developed by Sarina Kaur.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 14"
"1994","secondary",NA,NA,"August 16. At Fort Cochise, Lincoln infiltrates the militia compound of Hawkeye Morrison, who has teamed up with Khan to eliminate both Hunyadi and Seven.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 15-17"
"1994","secondary",NA,NA,"October 2. Khan begins human testing of his carnivorous bacteria.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 18"
"1994","secondary",NA,NA,"November 14. Seven foils Morrison's attempt to release sarin gas in the Eurotunnel, then assists Lincoln in escaping from Morrison's bomb shelter.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 19-20"
"1995","secondary",NA,NA,"March 17. Khan acquires over 200 bio-warheads from the former Soviet Union.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 21"
"1995","secondary","TNG",NA,"April 24. The crew of the Russian aircraft carrier Gorshkov is attacked by an alien entity.","Ghost Ship - TNG 1"
"1995","secondary",NA,NA,"September 5. A team of Amazon women storm Chrysalis Island and destroy Khan's arsenal of bio-weapons with a nuclear explosion.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 22-23"
"1996","secondary",NA,NA,"January 5. Facing certain defeat at the hands of combined forces from multiple nations, Khan Noonien Singh accepts an offer from Gary Seven to leave the planet with 83 of his genetically engineered followers aboard the DY-100 sleeper ship, christened the S.S. Botany Bay.","The Eugenics Wars: The Rise And Fall Of Khan Noonien Singh Vol 2 Ch 24-27; Space Seed - Star Trek 2"
"1996","time travel","DTI",NA,"January 5. In a battle with Captain Braxton of the 29th century, Voyager returns to Earth via a time rift. They are unknowingly assisted by Lucsly and Dulmer of the Department of Temporal Investigations.","Almost... But Not Quite - SNW 2"
"1999","alternate","SNW",NA,"J.R. Rasmussen resigns his/her job as a temporal researcher for the Deep Space Nine television series.","Research - SNW 2"
"2002","inferred",NA,NA,"The deep space probe Nomad is launched.","The Changeling - Star Trek 7"
"2003","alternate","SNW",NA,"June 21-22. Captain John Christopher, whose wife had left him following his abduction in 1969, struggles with conflicting memories while in a Massachusetts psychiatric ward, until this timeline is eliminated by the Temporal Integrity Commission.","Project Blue Book - SNW 7"
"2018","inferred",NA,NA,"The U.N.S.S. Icarus begins a sublight expedition to Alpha Centauri.","Space Seed - Star Trek 2"
"2032","inferred",NA,"Federation gives the year as 2030, which contradicts the information given in Broken Bow and Metamorphosis.","Birth of Zefram Cochrane.","Metamorphosis - TNG; Broken Bow - ENT"
"2045","time travel",NA,NA,"A Vulcan scout ship crash lands on Earth.","Strangers From The Sky Book 2"
"2048","inferred",NA,"The Icarus was not a sleeper ship. The 30-year duration of its voyage is a predictable consequence of relativistic time distortion at very high sublight speeds.","The Icarus discovers sentient humanoid life in the Alpha Certauri system.","Strangers From The Sky - Author's Foreward"
"2053","inferred","TNG",NA,"May 1. Colonel Green, founder of the Optimum movement, wages nuclear war upon the United States.","Star Trek 8: First Contact; Federation; The Savage Curtain - Star Trek 6"
"2053","secondary","TLE",NA,"May 1. The residents of the Vanguard asteroid colony in orbit around Earth observe the nuclear detonations on the planet.","TLE: The Sundered Ch 6"
"2055","inferred",NA,NA,"Zefram Cochrane discovers a 'breakthrough' in warp drive technology. Micah Brack begins funding his experiments.","Strangers From The Sky - Author's Foreward; Federation"
"2058","secondary","TLE",NA,"August 9. During a warp field test by Cochrane's Project Phoenix, the Vanguard colony is accidentally transported about 200 light-years from Earth. Less than one month later, the colony is attacked by Naussicans, who kill nearly a third of the colonists.","TLE: The Sundered Ch 7-8"
"2060","inferred",NA,NA,"Aboard the John Cabal, Zefram Cochrane demonstrates warp capability to Brack with a fluctuation superimpellor test sled.","Federation"
"2063","time travel","TLE",NA,"April 6. Zephram Cochrane is visited by the crew of the Enterprise-D from 300 years in the future, who implore him to continue with his warp flight test despite a recent attack by the Borg.","TLE: The Sundered Ch 12"
"2063","secondary","TLE",NA,"April 6. Meanwhile, the Vanguard colony continues to practice radical genetic engineering so that their children mature faster and are better adapted to their environment.","TLE: The Sundered Ch 12"
"2063","time travel","TNG",NA,"April 7. Cochrane breaks the light barrier with the Phoenix. Vulcan makes first contact with Earth.","Star Trek 8: First Contact; Mosaic"
"2063","time travel","SNW",NA,"April 7. Dulmer and Lucsly of the Department of Temporal Investigations perform reconnaissance at Cochrane's Montana base to ensure that no corruption of the timeline has occurred.","Almost... But Not Quite - SNW 2"
"2064","secondary",NA,"The given year of 2061 is incorrect, as this would predate Cochrane's first manned test of warp drive.","March 19. Cochrane returns from his interstellar trip to Alpha Centauri on the Bonaventure, arriving at Christopher's Landing on Titan. The entire journey had taken 243 days. Shortly after his return, he departs again to flee Adrik Thorsen.","Federation Ch 1-2"
"2065","inferred",NA,"The text claims this to be the first encounter with Vulcans. Either the prior contact with Zefram Cochrane was kept secret, or else the author meant the first offworld contact initiated by an Earth vessel. This particular event appears to have paved the way toward diplomatic relations.","The U.N.S.S. Amity rescues a disabled Vulcan craft within the solar system.","Strangers From The Sky - Author's Foreward"
"2068","inferred",NA,NA,"The first diplomatic Vulcan delegation arrives on Earth.","Strangers From The Sky - Author's Foreward"
"2069","secondary","TNG",NA,"Backstory","December. The Valiant - TNG Book 1, 3"
"2071","primary","DS9",NA,"The planet Trill is attacked by the L'Dira for refusing an offer of trade. Lela Dax, having communicated with the L'Dira prior to the attack, is tried for treason. T'Pau of Vulcan pays her a visit.","First Steps - The Lives Of Dax"
"2078","secondary",NA,"Encounter At Farpoint speaks of the 'post-atomic horror' in 2079. Therefore, it seems that Col. Thorsen brought about a revival of the Optimum movement and a second nuclear war in the 2070s.","June. Cochrane flees the aftermath of World War 3 and takes up permanent residence on the Alpha Centauri colony.","Federation"
"2097","alternate","TOS","This timeline will be eliminated when Captain Spock and Ensign Kirk from Second History travel back in time to foil the assassination.","Romulan androids from the future assassinate Dr. Palmer, thus weakening support for space exploration and ultimately preventing the formation of the U.F.P. The Earth will eventually join the Interstellar Alliance of Planets, founded by Vulcan. The Romulans refer to this timeline as Second History.","Killing Time - TOS 24"
"2119","secondary","ENT",NA,"Zefram Cochrane speaks at the groundbreaking ceremony for the Warp 5 Complex.","Broken Bow - ENT"
"2119","secondary","TNG","The text gives the year as 2117, which would be before Cochrane speaks at the Warp 5 Complex.","April. At age 87, Cochrane leaves his home on Alpha Centauri and disappears into space.","Federation; Metamorphosis; Star Trek 7"
"2121","primary","SNW",NA,"11 year-old Jonathan Archer visits the Sol Museum of Aeronautical Science, and spends time with T'Rama, eventual mother to Sarek.","A Girl For Every Star - SNW 5"
"2121","secondary","ENT",NA,"Jonathan Archer builds a model spaceship with his father, Henry.","Broken Bow - ENT"
"2124","inferred","TOS",NA,"The meeting of the First Federation Congress. Presumably, early drafts of the Articles of Federation would have begun at this time.","Dwellers In The Crucible - TOS 25"
"2135","primary","SNW",NA,"At the Roykirk Summer School on Earth, fifteen year-old Charles Tucker develops a proposal for a phase conduit cooling system.","Preconceptions - SNW 6"
"2140","secondary","ENT",NA,"October 5. Backstory","Daedalus - ENT"
"2151","time travel","ENT",NA,"April 9. Time travel.","Shockwave - ENT"
"2151","primary","ENT",NA,"April 16. The Earth Starfleet vessel Enterprise NX-01 is launched with Captain Jonathan Archer in command. Sub-commander T'Pol is the Vulcan liason and science officer. Commander Charles Tucker is Chief Engineer. Lt. Malcolm Reed is at Tactical, Ensign Hoshi Sato at Communications, Ensign Travis Mayweather at Helm, and Dr. Phlox is a Denobulan member of the Vulcan Interspecies Medical Exchange.","Broken Bow - ENT"
"2151","primary","SNW",NA,"April 16. Hoshi becomes ill from nurturing an unhatched Vulcan firebird.","Hoshi's Gift - SNW 5"
"2151","primary","ENT",NA,"April 16. Book.","By The Book - ENT"
"2151","primary",NA,NA,"April 16. On Beta Aurigae 7, a landing party led by T'Pol discovers archaeological evidence of the Zalkat Union, including documentation of the four deadly artifacts of Malkus the Mighty.","The Brave And The Bold Book 1: Discovery"
"2151","secondary","ENT",NA,"September 10. Aboard the Enterprise, crewman Daniels reveals himself to be an agent fighting a temporal cold war against the Suliban.","Shockwave - ENT"
"2152","primary","ENT","The chronological references in this story are wildly contradictory and have been mostly ignored.","Book","What Price Honor? - ENT"
"2152","secondary","ENT",NA,"Archer and Mayweather are held captive at the Tandaran detention complex along with Suliban prisoners.","Shockwave - ENT"
"2152","primary","SNW",NA,"Dr. Phlox, assigned to decontaminate crewman Daniels's quarters, attempts time travel to save Xesophia, who drowned on Denobula twenty-eight years earlier.","Cabin E-14 - SNW 6"
"2152","primary","ENT",NA,"Book","Shockwave - ENT"
"2152","primary","SNW",NA,"The Enterprise rescues the crew of the Lost Moon, an Earth colony ship.","Remnant SNW 5"
"2152","secondary","SNW",NA,"Two crewmen from the Enterprise are murdered by the Kolyati.","The Shoulders Of Giants: Prologue - SNW 5"
"2152","primary","ENT",NA,"Book","Surak's Soul - ENT"
"2152","primary","SNW",NA,"On the planet Druzilum, Archer acts to preserve the martyrdom of a man destined to become a religious icon.","Savior SNW 6"
"2153","primary","ENT",NA,"Book","Daedalus - ENT"
"2153","primary","ENT",NA,"Book","Daedalus's Children - ENT"
"2153","primary","ENT",NA,"Book","The Expanse - ENT"
"2153","primary","SNW",NA,"The crew of Enterprise begins to suffer inexplicable fits of narcolepsy.","Earthquake Weather - SNW 7"
"2154","inferred","TOS","This is ninety years prior to the events of The Final Reflection Part 3. This is described as the 'incorporation' of the U.F.P., a term also used in Federation to describe the events of 2161. However, it is well established that a Federation existed in some form during the First Romulan War. In Strangers From The Sky, the date is given as 2087, which contradicts Metamorphosis and Broken Bow.","The Articles of Federation are signed at Babel. Participants include Earth, Andor and Rigel, but not Vulcan. Initially, this is merely an alliance, with planetary governments still retaining all of their sovereignty.","The Final Reflection - TOS 16 Part 3; The Abode Of Life - TOS 6; The Romulan Way - TOS 35 Ch 12"
"2155","secondary","TLE",NA,"August 9. The Vanguard colony, whose residents have now evolved into a quadruped race known as the Neyel, falls into an interspatial rift and emerges 210,000 light-years away, in the center of the Small Magellanic Cloud.","TLE: The Sundered Ch 13"
"2156","secondary","TOS",NA,"The first major war with the Romulan Empire begins with the destruction of the USS Balboa. The initial conflict will last four years.","Rihannsu 2: The Romulan Way - TOS 35 Ch 12; My Brother's Keeper: Republic - TOS 85; Federation"
"2159","primary","DS9",NA,"Romulans capture the Heisenberg in an attempt to obtain Terran warp technology. Tobin Dax and Skon of Vulcan reclaim the ship with the aid of a transporter prototype.","Dead Man's Hand - The Lives Of Dax"
"2160","primary",NA,NA,"The First Romulan War ends with the Treaty of Algernon. Vulcan pledges to join a new, amalgamated Federation.","Starfleet: Year One; Federation"
"2161","inferred",NA,NA,"In the aftermath of the Romulan conflict, the U.F.P. Constitution is signed and Starfleet is commissioned as the armed services via the Paris Charter.","Federation"
"2162","inferred","TNG","The descendants of the Verdun claim knowledge of the Enterprise, which obviously must refer to the NX-01, though Riker mistakenly calls it Constitution-class.","Captain Lucien Murat and the crew of the USS Verdun are stranded on Torgu-Va during a war with the Tarn. They and their descendants will remain stranded for 204 years.","The Forgotten War - TNG 57"
"2164","inferred",NA,"In the novel Sarek, his father is said to be Solkar. Most other sources agree that Solkar is in fact his grandfather.","Birth of Sarek, son of Skon.","Journey To Babel - Star Trek 4"
"2169","secondary","TLE",NA,"In the Small Magellanic Cloud, the People of Neyel succeed in capturing a warp-capable vessel.","TLE: The Sundered Ch 18"
"2175","inferred","TNG",NA,"The policy of cultural non-interference is established as Starfleet's Prime Directive.","Double Helix 5: Double Or Nothing - TNG 55"
"2182","secondary","TOS","Though this occurs in the interim after the Romulan War, the text indicates that the Romulans view the war as ongoing. This is not surprising, given that the Romulans continued to build and mobilize their forces during peacetime.","The Romulan cruiser Scorah abducts a Reyan exploratory vessel and kills everyone aboard.","The Great Starship Race - TOS 67"
"2204","secondary","TLE",NA,"The People of Neyel land their vessel on the world of Oghen, offering to share technology with the inhabitants in return for the use of the planet's resources.","TLE: The Sundered p 233-235"
"2214","secondary","TOS","Blish's novelization of Balance Of Terror contradicts the teleplay, which states that over a century had passed since the war. Duane's novel follows Blish's record of events, including the assertion that the conflict lasted 25 years. Therefore, we must assume that a protracted conflict resumed following the major war and was not conclusively resolved until this time. Negotiation of the treaty was urged by 'Ambassador' Sarek. Though not yet Ambassador Plenipotentiary, according to Spock's World he was likely posted to the Vulcan Embassy at this time.","Following twenty-five years of continuing hostility, the Romulan Neutral Zone is established by the Treaty of Trianguli, negotiated via subspace without any representatives ever meeting face-to-face. No contact will occur between the races for the next fifty years.","Rihannsu 2: The Romulan Way - TOS 35 Ch 12; Balance Of Terror - Star Trek 1"
"2218","inferred","TOS","Described as first contact between the U.F.P. and the Klingon empire. This may be the first formal contact with the Federation, although Broken Bow establishes that Klingons had contact with Terrans prior to the founding of the U.F.P. One may assume that this is the incident that touched off fifty years of hostilities according to Day Of The Dove.","The USS Sentry meets with the Klingon vessel IKV Devisor.","The Final Reflection - TOS 16; Federation"
"2219","secondary","TLE",NA,"Following the death of Drech'tor Hanif Wafiyy, the new leadership of the Neyel declare themselves absolute rulers over the planet Oghen.","TLE: The Sundered - p 235-238"
"2223","inferred","TOS",NA,"Sarek marries T'Rea and conceives his first son, Sybok. The marriage is anulled when T'Rea decides to pursue the priesthood.","Star Trek 5: The Final Frontier"
"2226","inferred",NA,NA,"Birth of Leonard H. E. McCoy.",NA
"2228","secondary",NA,"The year is given as 2212, and the length of Sarek's stay on Earth is said to have been 50 years. Both are problematic.","Sarek returns to Vulcan following an extended internship as a cultural attache on Earth and is appointed Ambassador Plenipotentiary to the U.F.P. Shortly thereafter, he meets Amanda Greyson.","Spock's World - Vulcan Seven"
"2229","secondary","TOS",NA,"Five year-old Sybok's mother T'Rea is condemned for teaching about Sha Ka Ree.","Star Trek 5: The Final Frontier - Prologue"
"2229","secondary","TOS",NA,"June. Courtship of Sarek and Amanda.","Demons - TOS 30 p 22-26; Sarek Ch 2"
"2229","secondary",NA,NA,"September 16. Marriage of Sarek and Amanda.","Sarek Ch 5; Spock's World - Vulcan Seven"
"2231","secondary",NA,NA,"November 12. Birth of Spock, son of Sarek.","Sarek Ch 5; Spock's World - Vulcan Seven"
"2231","primary","SNW",NA,"December. Nine year-old Montgomery Scott becomes ill after eating a Danish lobster salad with radishes.","Bum Radish: Five Spins On A Turquoise Reindeer - SNW 6"
"2233","secondary","TOS","This takes place six years prior to Part 2. Considering that these events are all framed within a novel read by Kirk, they may be apocryphal.","A secret faction within the Klingon Empire attempts to forge a treaty with the Romulans. Once discovered, Vrenn Khemara assumes a new identity (Krenn) to avoid assassination.","The Final Reflection - TOS 16 Part 1"
"2233","inferred",NA,NA,"Birth of James Tiberius Kirk.",NA
"2236","secondary","TOS",NA,"McCoy is nine years old.","The Better Man - TOS 72 p 9-11"
"2237","secondary",NA,"The story is internally inconsistent, giving Spock's age here as seven (Vulcan years?).","December 7. Young Spock runs away from home.","Sarek Ch 6"
"2237","time travel",NA,NA,"An adult Spock arrives from the future to prevent his own death.","Yesteryear - Star Trek Log 1"
"2240","secondary","TOS",NA,"Upon developing dilithium-focused warp drive, Captain Krenn sutai-Rustazh serves as the first Klingon ambassador to the U.F.P. in the 22 years since first contact. While on Earth, he plays a game of chess with young Spock, age eight.","The Final Reflection - TOS 16 Part 2"
"2243","secondary",NA,"A letter from George Sr. to his children is dated May 10, 2183, obviously a little off the mark.","The Federation's first starship, the USS Enterprise, is secretly commissioned early to rescue colonists stranded aboard the Rosenberg. Captain Robert April commands the mission, accompanied by George S. Kirk, Security Chief of Starbase Two and father of George Jr. and James (age ten). Wishing to avoid yet another major war, Field Primus t'Cael Zaniidor Kilyle helps April to escape from Romulan space.","Final Frontier"
"2244","secondary","TOS",NA,"Four years after formalizing diplomatic relations, the Klingons attempt to influence member worlds of the U.F.P. to vote for dissolution of the Federation.","The Final Reflection - TOS 16 Part 3"
"2244","secondary","TOS",NA,"McCoy is seventeen years old.","The Better Man - TOS 72 p 12-15"
"2244","secondary","TOS",NA,"Montgomery Scott formulates the Aberdeen Solution, which disproves the Perera Theory of photon torpedo explosions.","The Kobayashi Maru - TOS 47"
"2245","primary","DS9",NA,"McCoy meets Emony Dax during a gymnastics competition at Ole Miss.","Old Souls - The Lives Of Dax"
"2246","primary",NA,NA,"October 10. Slightly over a year after beginning its 'official' maiden voyage, the Enterprise is attacked by Klingon Commander Kor while attempting to deliver supplies to Tarsus 4.","Though Hell Should Bar The Way - Enterprise Logs"
